ハクチカラ(59年WBH1着),トビサクラ,昇城,月城,ダイオライト,フライアースメードン,プリメロ,Blandford,Athasi,Friar Marcus,Tetranch Girl,Diophon,Needle Rock,Campfire,星旗
タップダンスシチー(04年凱旋門賞17着),Pleasant Tap,All Dance,All Rainbows,Northern Dancer,Never Knock,Pleasant Colony,His Majesty,Sun Colony,Stage Door Johnny,Never Hula,Nearctic,Natalma,Bold hour,Miss Carmie
ゼンノロブロイ(05年インターナショナルS2着),サンデーサイレンス,ローミンレイチェル,One Smart Lady,マイニング,Wishing Well,Halo,hail to Reason,Cosmah,Understanding,Mountain Flower,Mr.Prospector,I Pass,Clever Trick,Pia's Lady
シーザリオ(05年アメリカンオークス1着),スペシャルウィーク,キロフプリミエール,Querida,Sadler's Wells,キャンペンガール,サンデーサイレンス,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia
ハットトリック(05年香港マイル1着),サンデーサイレンス,トリッキーコード,Dam Clever,Lost Code,Wishing Well,Halo,Hail to Reason,Cosmah,Understanding,Mountain Flower,Codex,Loss Or Gain,Damascus,Clever Bird
デルタブルース(06年メルボルンカップ1着),ダンスインザダーク,ディクシースプラッシュ,Ocean Jewel,Dixieland Band,ダンシングキイ,サンデーサイレンス,Halo,Wishing Well,Nijinsky,Key Partner,Northern Dancer,Mississippi Mud,Alleged,Lady Offshore
ハーツクライ(07年ドバイシーマC1着),サンデーサイレンス,アイリッシュダンス,ビューパーダンス,トニービン,Wishing Well,Halo,hail to Reason,Cosmah,understanding,Mountain Flower,カンパラ,Severn Bridge,Lyphard,My Bupers
アドマイヤムーン(07年DDF１着),エンドスウィープ,マイケイティーズ,ケイティーズファースト,サンデーサイレンス,Broom Dance,フォーティナイナー,Mr. Prospector,File,Dance Spell,Witching Hour,Halo,Wishing Well,Kris,Katies
メイショウサムソン(08年凱旋門賞10着),オペラハウス,マイヴィヴィアン,ウイルプリンセス,ダンシングブレーヴ,Colorspin,Sadler's Wells,Northern Dancer,Fairy Bridge,High Top,Reprocolor,Lyphard,Navajo Princess,サンプリンス,エール
レッドディザイア(10年BCF&MT4着),マンハッタンカフェ,グレイトサンライズ,グレースアンドグローリー,Caerleon,サトルチェンジ,サンデーサイレンス,Halo,Wishing Well,Law Society,Santa Luciana,Nijinsky,Foreseer,Sadler's wells,Grace Note
ナカヤマフェスタ(10年凱旋門賞2着),ステイゴールド,ディアウィンク,セイレン,タイトスポット,ゴールデンサッシュ,サンデーサイレンス,Halo,Wishing Well,ディクタス,ダイナサッシュ,His Majesty,Premium Win,デインヒル,センスオブリズム
アパパネ(11年香港マイル13着),キングカメハメハ,ソルティビッド,Piper Piper,Salt Lake,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Deputy Minister,Take Lady Anne,Spectacular Bid,Alvarada
ヴィクトワールピサ(11年DWC1着),ネオユニヴァース,ホワイトウォーターアフェア,Much Too Risky,Machiavellian,ポインテッドパス,サンデーサイレンス,Halo,Wishing Well,Kris,Silken Way,Mr. Prospector,Coup de Folie,Bustino,Short Rations
オルフェーヴル(12年凱旋門賞2着),ステイゴールド,オリエンタルアート,エレクトロアート,メジロマックイーン,ゴールデンサッシュ,サンデーサイレンス,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,ノーザンテースト,グランマスティーヴンス
ルーラーシップ(12年QEIIカップ1着),キングカメハメハ,エアグルーヴ,ダイナカール,トニービン,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,カンパラ,Severn Bridge,ノーザンテースト,シャダイフェザー
ロードカナロア(13年香港スプリント1着),キングカメハメハ,レディブラッサム,サラトガデュー,Storm Cat,マンファス,Kingmambo,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm bird,Terlingua,Cormorant,Super Luna
キズナ(13年凱旋門賞4着),ディープインパクト,キャットクイル,Pacific Princess,Storm Cat,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Damascus,Fiji
ジェンティルドンナ(14年ドバイシーマC1着),ディープインパクト,ドナブリーニ,Cal Norma's Lady,Bertolini,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Danzig,Aquilegia,リファーズスペシャル,June Darling
ジャスタウェイ(14年DDF1着),ハーツクライ,シビル,シャロン,Wild Again,アイリッシュダンス,サンデーサイレンス,Halo,Wishing Well,トニービン,ビューパーダンス,Icecapade,Bushel-n-Peck,Mo Exception,Double Wiggle
モーリス(15年香港マイル1着),スクリーンヒーロー,メジロフランシス,メジロモントレー,カーネギー,ランニングヒロイン,グラスワンダー,Silver Hawk,Ameriflora,サンデーサイレンス,ダイナアクトレス,Sadler's Wells,Detroit,モガミ,メジロクインシー
エイシンヒカリ(16年イスパーン賞1着),ディープインパクト,キャタリナ,Carolina Saga,Storm Cat,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Caro,Key to the Saga
サトノクラウン(16年香港ヴァーズ1着),Marju,ジョコンダⅡ,La Joconde,Rossini,Flame of Tara,ラストタイクーン,トライマイベスト,Mill Princess,アーテイアス,Welsh Flame,Miswaki,Touch of Greatness,Vettori,Lust
リアルスティール(16年ドバイターフ1着),ディープインパクト,ラヴズオンリーミー,Monevassia,Storm Cat,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghere,Storm Bird,Terlingua,Mr. Prospector,Miesque
ネオリアリズム(17年QEIIカップ1着),ネオユニヴァース,トキオリアリティー,What a Reality,Meadowlake,ポインテッドパス,サンデーサイレンス,Halo,Wishing Well,Kris,Silken Way,Hold Your Peace,Suspicious Native,In Reality,What Will Be
ヴィブロス(17年ドバイターフ1着),ディープインパクト,ハルーワスウィート,ハルーワソング,Machiabellian,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Mr. Prospector,Coup de Folie,Nureyev,Morn of Song
サトノダイヤモンド(17年凱旋門賞15着),ディープインパクト,マルペンサ,Marsella,Orpen,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Lure,Bonita Francita,サザンヘイロー,Riviere
サトノブレス(17年凱旋門賞16着),ジャスタウェイ,アオゾラペダル,フェスタデルドンナ,ホワイトマズル,シビル,ハーツクライ,サンデーサイレンス,アイリッシュダンス,Wild Again,シャロン,ダンシングブレーヴ,Fair of the Furze,ヘクタープロテクター,スカーレットブルー
アドマイヤマーズ(19年香港マイル1着),ダイワメジャー,ヴィアメディチ,Via Milano,Medicean,スカーレットブーケ,サンデーサイレンス,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Machiavellian,Mystic Goddess,シングスピール,Salvinaxia
ウインブライト(19年QEIIカップ1着),ステイゴールド,サマーエタニティ,オールフォーゲラン,アドマイヤコジーン,ゴールデンサッシュ,サンデーサイレンス,Halo,Wishing Well,ディクタス,ダイナサッシュ,Cozzene,アドマイヤマカディ,ジェイドロバリー,ミスゲラン
ディアドラ(19年ナッソーS1着),ハービンジャー,ライツェント,ソニンク,スペシャルウィーク,Penang Pearl,Dansili,デインヒル,Hasili,Bering,Guapa,サンデーサイレンス,キャンペンガール,Machiavellian,Sonic Lady
アーモンドアイ(19年ドバイターフ1着),ロードカナロア,フサイチパンドラ,ロッタレース,サンデーサイレンス,レディブラッサム,キングカメハメハ,Kingmambo,マンファス,Storm Cat,サラトガデュー,Halo,Wishing Well,Nureyev,Sex Appeal
ダノンスマッシュ(20年香港スプリント1着),ロードカナロア,スピニングワイルドキャット,Hollywood Wildcat,ハードスパン,レディブラッサム,キングカメハメハ,Kingmambo,マンファス,Storm Cat,サラトガデュー,Danzig,Turkish Tryst,Kris S.,Miss Wildcatter
ノームコア(20年香港カップ1着),ハービンジャー,クロノロジスト,インディスユニゾン,クロフネ,Penang Pearl,Dansili,デインヒル,Hasili,Bering,Guapa,フレンチデプュティ,ブルーアヴェニュー,サンデーサイレンス,ラスティックベル
ラヴズオンリーユー(21年QEIIカップ1着),ディープインパクト,ラヴズオンリーミー,Monevassia,Storm Cat,ウインドインハーヘア,サンデーサイレンス,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Mr. Prospector,Mieaque
デアリングタクト(21年QEIIカップ3着),エピファネイア,デアリングバード,デアリングハート,キングカメハメハ,シーザリオ,シンボリクリスエス,Kris S.,Tee kay,スペシャルウィーク,キロフプリミエール,Kingmambo,マンファス,サンデーサイレンス,デアリングダンジグ
クロノジェネシス(21年ドバイシーマC2着),パゴ,クロノロジスト,インディスユニゾン,クロフネ,Moonlight's Box,Nashwan,Blushing Groom,Height of Fasion,Nureyev,Coup de Genie,フレンチデプュティ,ブルーアヴェニュー,サンデーサイレンス,ラスティックベル
